"order_id","customer_name","region","manager_name","total_price"
"1000","Caleb Davis","West","Diana Prince",2394.00
"1001","Misty Herrera","South","Bob Johnson",13581.00
"1002","Rick Soto","East","Charlie Brown",5230.00
"1003","Sean Haas","South","Bob Johnson",2920.00
"1004","Ann Hall","North","Alice Smith",1096.00
"1005","Michelle White","South","Bob Johnson",5458.00
"1006","Breanna Gonzalez","East","Charlie Brown",26136.00
"1007","Angela Rivera","West","Diana Prince",20797.00
"1008","Emily Anderson","North","Alice Smith",7010.00
"1009","Laura Anderson","East","Charlie Brown",4454.00
"1010","Ryan Smith","South","Bob Johnson",9834.00
"1011","Valerie Hooper","West","Diana Prince",17590.00
"1012","Kyle Kirby","South","Bob Johnson",7810.00
"1013","Barry Johnson","East","Charlie Brown",2754.00
"1014","Dawn Edwards","South","Bob Johnson",5159.00
"1015","Kylie Cox","East","Charlie Brown",4677.00
"1016","Rachel Wilson","West","Diana Prince",4826.00
"1017","Tracy Williams","South","Bob Johnson",9666.00
"1018","Richard Paul","North","Alice Smith",29796.00
"1019","Debbie Turner","West","Diana Prince",44990.00
"1020","Roy Stewart","North","Alice Smith",13300.00
"1021","Michelle Lucero","North","Alice Smith",1464.00
"1022","Benjamin Meadows","East","Charlie Brown",20560.00
"1023","Nicholas Ruiz","East","Charlie Brown",262.00
"1024","Jodi Smith","East","Charlie Brown",27066.00
"1025","Michael Meyer","South","Bob Johnson",2720.00
"1026","Kerry Moore","South","Bob Johnson",18096.00
"1027","Luis Ward","North","Alice Smith",1711.00
"1028","Abigail Powell","West","Diana Prince",2195.00
"1029","Nicholas Wallace","East","Charlie Brown",11745.00
"1030","Ashley Joyce DVM","South","Bob Johnson",25776.00
"1031","Robert Lewis","North","Alice Smith",4568.00
"1032","Mary Stewart","East","Charlie Brown",6324.00
"1033","Emily Ray","North","Alice Smith",15384.00
"1034","James Smith","East","Charlie Brown",3836.00
"1035","Bradley Wilson","West","Diana Prince",9054.00
"1036","John Hughes","West","Diana Prince",13355.00
"1037","Eric Anderson","West","Diana Prince",3500.00
"1038","Walter Pearson","North","Alice Smith",253.00
"1039","Robert Bennett","West","Diana Prince",13485.00
"1040","Emily Collins","North","Alice Smith",6986.00
"1041","Neil Brown","South","Bob Johnson",847.00
"1042","David Norris","South","Bob Johnson",24115.00
"1043","Matthew Leon","South","Bob Johnson",2410.00
"1044","Becky Carrillo","North","Alice Smith",5404.00
"1045","Denise Wilson","South","Bob Johnson",6320.00
"1046","Julian White","East","Charlie Brown",13970.00
"1047","Larry Martinez","South","Bob Johnson",5145.00
"1048","Debra Swanson","East","Charlie Brown",6018.00
"1049","Melissa Ruiz","South","Bob Johnson",13300.00
"1050","Laura Ramos","South","Bob Johnson",5676.00
"1051","David Skinner","South","Bob Johnson",1488.00
"1052","William Koch","North","Alice Smith",17750.00
"1053","Christine Bauer","West","Diana Prince",2430.00
"1054","Sharon Martinez","South","Bob Johnson",3885.00
"1055","Whitney Levine","North","Alice Smith",9500.00
"1056","William Garcia","East","Charlie Brown",1201.00
"1057","Matthew Conrad","South","Bob Johnson",9954.00
"1058","Tara Garner","East","Charlie Brown",1015.00
"1059","Miss Rebecca Levine","East","Charlie Brown",28764.00
"1060","Rebecca Lozano","South","Bob Johnson",390.00
"1061","Sharon Cunningham","South","Bob Johnson",28377.00
"1062","Jessica Hernandez","East","Charlie Brown",22456.00
"1063","Jacob Henry","South","Bob Johnson",4327.00
"1064","Brandon Rivera","North","Alice Smith",6674.00
"1065","Garrett Guerrero","West","Diana Prince",25296.00
"1066","Robert Lopez","South","Bob Johnson",9106.00
"1067","Lauren Hill","West","Diana Prince",29192.00
"1068","Michael Taylor","South","Bob Johnson",2763.00
"1069","Michele Wilson","South","Bob Johnson",20880.00
"1070","Patrick Watson","West","Diana Prince",37680.00
"1071","Mr. Daniel Grant","West","Diana Prince",17792.00
"1072","Laura Hayes","South","Bob Johnson",15057.00
"1073","Katie Jackson","West","Diana Prince",9326.00
"1074","Cassandra Wilkinson","West","Diana Prince",21879.00
"1075","Vanessa Matthews","East","Charlie Brown",812.00
"1076","Robert Horn","West","Diana Prince",4752.00
"1077","Amy Davis","East","Charlie Brown",2367.00
"1078","Robin Fuller","West","Diana Prince",988.00
"1079","Christopher Baker","West","Diana Prince",2745.00
"1080","James Ali","North","Alice Smith",1944.00
"1081","Mrs. Wendy Lin","North","Alice Smith",2970.00
"1082","Kenneth Lee","West","Diana Prince",24402.00
"1083","Erin Barker","South","Bob Johnson",4599.00
"1084","Karen Ryan","South","Bob Johnson",7830.00
"1085","Shelly Snyder","East","Charlie Brown",18603.00
"1086","Michael Gutierrez","North","Alice Smith",949.00
"1087","Jennifer Alexander","West","Diana Prince",8592.00
"1088","Gina Mckee","South","Bob Johnson",9584.00
"1089","Maria Collins","North","Alice Smith",12160.00
"1090","Emily Bennett","East","Charlie Brown",4298.00
"1091","Michael Saunders","East","Charlie Brown",15092.00
"1092","Kevin Anderson","South","Bob Johnson",21312.00
"1093","Kathleen Wilkins","West","Diana Prince",26874.00
"1094","Brittany Ray","West","Diana Prince",19380.00
"1095","Pam Tapia","North","Alice Smith",12015.00
"1096","Daniel Torres","East","Charlie Brown",25886.00
"1097","Daniel Carter","North","Alice Smith",1286.00
"1098","Mary Garrett","East","Charlie Brown",5490.00
"1099","Amanda Reeves","South","Bob Johnson",22095.00
"1100","Meagan Mata","South","Bob Johnson",884.00
"1101","Cynthia Wright","North","Alice Smith",629.00
"1102","Brittany Leblanc","East","Charlie Brown",7456.00
"1103","Tracey Johnson","South","Bob Johnson",11580.00
"1104","Brian Butler","North","Alice Smith",17925.00
"1105","George Hamilton","West","Diana Prince",970.00
"1106","Tiffany Kerr","North","Alice Smith",13707.00
"1107","Stacy Brown","North","Alice Smith",4643.00
"1108","Joshua Myers","East","Charlie Brown",243.00
"1109","Scott Romero","East","Charlie Brown",9363.00
"1110","John Martin","South","Bob Johnson",27408.00
"1111","Willie Foster","West","Diana Prince",19341.00
"1112","Robert Kelley","South","Bob Johnson",4251.00
"1113","Ronnie Brown","North","Alice Smith",21762.00
"1114","Stephanie Martinez","West","Diana Prince",34576.00
"1115","Gary Osborn","East","Charlie Brown",29124.00
"1116","Ms. Sheila Davis MD","East","Charlie Brown",23058.00
"1117","Michael Lyons","West","Diana Prince",14112.00
"1118","Joshua Nelson","East","Charlie Brown",13670.00
"1119","Anna Brown","North","Alice Smith",4668.00
"1120","Rick Sanford","South","Bob Johnson",41211.00
"1121","Amanda Woods","South","Bob Johnson",4796.00
"1122","Courtney Ellis","South","Bob Johnson",27896.00
"1123","Derrick Barry","East","Charlie Brown",2946.00
"1124","Lori Thomas","South","Bob Johnson",545.00
"1125","Lynn Garrison","East","Charlie Brown",47940.00
"1126","Zachary Jones","South","Bob Johnson",21620.00
"1127","Mary Baldwin","East","Charlie Brown",2834.00
"1128","Gregory Miller","South","Bob Johnson",22576.00
"1129","Natalie Murphy","East","Charlie Brown",79.00
"1130","Tiffany Cook","East","Charlie Brown",10116.00
"1131","Matthew Ross","North","Alice Smith",18378.00
"1132","Paul Kennedy","East","Charlie Brown",3090.00
"1133","Aaron Mendoza","North","Alice Smith",4074.00
"1134","Sandra Taylor DDS","South","Bob Johnson",27867.00
"1135","Richard Cooley","South","Bob Johnson",6135.00
"1136","Natalie Kirby","West","Diana Prince",602.00
"1137","Matthew Reese","South","Bob Johnson",21048.00
"1138","Brian Long","South","Bob Johnson",8770.00
"1139","Miguel Finley","East","Charlie Brown",844.00
"1140","Scott Johnston","West","Diana Prince",10617.00
"1141","Alicia Reynolds","East","Charlie Brown",745.00
"1142","Trevor Stuart","West","Diana Prince",18954.00
"1143","Matthew Arias","South","Bob Johnson",24416.00
"1144","Antonio Roth","West","Diana Prince",891.00
"1145","Sheila Booker","North","Alice Smith",12817.00
"1146","Anna Stone","South","Bob Johnson",17960.00
"1147","Angela Jackson","West","Diana Prince",13527.00
"1148","Joshua Moore","South","Bob Johnson",18456.00
"1149","Todd Barnes","North","Alice Smith",36152.00
"1150","Laura Maynard","East","Charlie Brown",9994.00
"1151","Sara Morgan","South","Bob Johnson",4688.00
"1152","Christopher Gillespie","South","Bob Johnson",1981.00
"1153","Brandon Hoffman","South","Bob Johnson",24054.00
"1154","Christine Watkins","South","Bob Johnson",19984.00
"1155","Andrew Lopez","South","Bob Johnson",4947.00
"1156","Deborah Glover","West","Diana Prince",593.00
"1157","Patricia Gill","East","Charlie Brown",27405.00
"1158","Timothy Conrad","South","Bob Johnson",29418.00
"1159","Alan Barker","North","Alice Smith",1089.00
"1160","Michelle Beltran","East","Charlie Brown",42471.00
"1161","Katherine Baker","North","Alice Smith",6352.00
"1162","Wayne Lucas","West","Diana Prince",2876.00
"1163","Tiffany Baker","North","Alice Smith",2583.00
"1164","Mark Jones","South","Bob Johnson",3096.00
"1165","Stephen Holloway","East","Charlie Brown",5216.00
"1166","Eric Floyd","East","Charlie Brown",3926.00
"1167","Julie Adams","East","Charlie Brown",31108.00
"1168","Megan Charles","West","Diana Prince",44620.00
"1169","Margaret Barton","North","Alice Smith",17696.00
"1170","Joshua Kim","South","Bob Johnson",14980.00
"1171","David Dominguez","South","Bob Johnson",23216.00
"1172","Molly Hall","West","Diana Prince",1847.00
"1173","Brenda Stuart","South","Bob Johnson",3982.00
"1174","Kimberly Alvarado","North","Alice Smith",31752.00
"1175","David Bennett","North","Alice Smith",24453.00
"1176","Christine Kelly","South","Bob Johnson",6012.00
"1177","Jenna Walker","East","Charlie Brown",4199.00
"1178","Jennifer Ferguson","North","Alice Smith",836.00
"1179","Alexander Cox DDS","West","Diana Prince",11712.00
"1180","Hailey Cobb","East","Charlie Brown",25710.00
"1181","Christine Clay","East","Charlie Brown",6114.00
"1182","Shannon Brown","West","Diana Prince",27564.00
"1183","Sarah Browning","East","Charlie Brown",1511.00
"1184","Gina Bush","South","Bob Johnson",31194.00
"1185","Christopher Bartlett","South","Bob Johnson",9261.00
"1186","Maxwell Goodman","North","Alice Smith",8154.00
"1187","Katherine Wilson","South","Bob Johnson",500.00
"1188","Elizabeth Morse","West","Diana Prince",6692.00
"1189","Laura Smith","North","Alice Smith",12222.00
"1190","Christopher Meyer","East","Charlie Brown",37320.00
"1191","Tim Gross","West","Diana Prince",14397.00
"1192","Scott Smith","North","Alice Smith",727.00
"1193","Evan Henry","South","Bob Johnson",16457.00
"1194","Eric Bell","East","Charlie Brown",4404.00
"1195","Dylan Baxter","South","Bob Johnson",5586.00
"1196","Brandon Callahan","East","Charlie Brown",9348.00
"1197","Angela Stanton","South","Bob Johnson",1396.00
"1198","Marissa Aguilar","West","Diana Prince",2766.00
"1199","Timothy Wheeler","West","Diana Prince",9196.00
